CJ Anderson,RB,DEN,16.6
Roy Helu,RB,WAS,16.8
Robert Woods,WR,BUF,13.3
Donald Brown,RB,SD,16
Cleveland Defense,DEF,CLE,11
Mason Crosby,PK,GB,9.4
Tampa Bay Defense,DEF,TB,11.2
Chicago Defense,DEF,CHI,12.6
Dan Bailey,PK,DAL,9.9
New Orleans Defense,DEF,NO,11.8
Phil Dawson,PK,SF,8.5
Matt Bryant,PK,ATL,6.5
Greg Zuerlein,PK,STL,6.2
Adam Vinatieri,PK,IND,6
Blair Walsh,PK,MIN,6.6
Robbie Gould,PK,CHI,4.9
