"","name","pos","team","overallRank","positionRank","vor","projectedPts","upside","risk","projectedCost","adp","ADPdiff","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_yahoo"
"19","Drew Brees","QB","NO",19,2,75.0043447964144,347.999570039164,358.393034516717,3.53048058344699,292,17.1,-1.9,5010.5,38.4499560667964,14.7500609326111,45.2999556127949,0.999982869044713,0,0,0,1,2.00004303547902,350.6,369.02,348.6,354.44,355.69,343.92,350.42,338.92,330.1,331.96,356.5,348.76,352.22,358.14
"20","Brandon Marshall","WR","CHI",20,6,72.4001051841656,190.899741843296,206.369345022676,3.75614223725433,322,15.6,-4.4,0,0,0,0,0,100.699997588842,1273,10.4999569738827,0.3,0,188.3,198.8,195,193.2,190.61,222.6,177.4,183.1,189,185.8,187,151.5,204.3,193.4
"21","Giovani Bernard","RB","CIN",21,12,71.5222817211632,191.472141430106,209.128987854114,4.42098866770852,218,23,2,0,0,0,941.5,5.99994059641882,60.499982931936,503,2.59996032521099,0,2.28863204983666,237.7,192.4,182.5,NA,205.81,167.4,201.4,186.2,197,179.9,214,208,204,203.2
"22","Zac Stacy","RB","STL",22,13,66.48506005569,186.434919764632,201.009278878835,4.06389330177442,216,23.1,1.1,0,0,0,1135.49998894996,8.49998536775286,29.999965749235,198.850022603807,1.00000106712308,0,2,208.3,185.7,185.4,NA,195.94,187.9,203.3,163.9,176,164.4,198.5,204,201.4,195.2
"23","Alshon Jeffery","WR","CHI",23,7,65.6067216623381,184.106358321469,193.884786390157,3.20866756142882,250,21.8,-1.2,0,0,0,74.9999339970428,0.749987501646415,83.4999494413048,1261,7.9999762596814,0.2,1.19670882310124,186.5,169.6,190.9,188.6,186.75,183.4,175.4,180.4,181.5,174,187,155.5,191.6,177.76
"24","Aaron Rodgers","QB","GB",24,3,64.6644591903447,337.659684433095,353.547258124574,4.24420989058975,276,20.3,-3.7,4471.5,35.0000038374825,9.55000643808659,223.500032593009,1.99996175113662,0,0,0,0,3.00004912243475,354.46,363.26,358.62,350.94,357.08,316.02,350.2,336.08,340.8,319.74,356.5,318.9,350.08,335.88
"25","Jordy Nelson","WR","GB",25,8,64.6006992697909,183.100335928921,191.358219541461,3.02357958564764,234,24.3,-0.699999999999999,0,0,0,0,0,81.9999703743063,1276,9.5000285645789,0,0.749917729275997,187.2,194,188.6,187.3,186.06,183.8,169.9,178.5,183,175.6,196,168.2,189.9,187.3
"26","Alfred Morris","RB","WAS",26,14,64.450392675163,184.400252384105,200.823099040751,4.53450514231932,198,27.2,1.2,0,0,0,1245.5,8.65006756265705,11.5999916746161,88.5,0.749987501646415,0.2,2.90003900085771,218.2,190.1,188.9,NA,196.99,180.8,183.6,179.3,172,169.9,181,225.8,182.8,184.7
"27","Antonio Brown","WR","PIT",27,9,62.1821533718396,180.68179003097,185.968403698143,2.75450777254888,226,26.6,-0.399999999999999,0,0,0,31.3139981435059,0,99.2591504039689,1315.50003000279,8.00003649235861,0,0.999915868905567,185.4,171.5,190.2,186.1,183.42,183,179.4,178.7,179,184.2,187,176.9,190.9,182.65
"28","Andre Ellington","RB","ARI",28,15,60.0499538565545,179.999813565497,195.641615547071,4.37501011574141,153,39.8,11.8,0,0,0,969.000019543044,5.00000788236405,48.5499345606995,441,1.99994771087285,0,1.49996097411447,198,174,168.4,NA,182.34,213,185.3,156.4,171,162.2,185,194.7,187.9,191.3
